uf,municipality,district,sub_district,tract,urban_rural,place,address_1,address_2,house_number,modifier,complement1,value_1,complement_2,value_2,complement_3,value_3,complement4,value_4,complement_5,value_5,complement_6,value_6,latitude,longitude,borough,nil,landuse_id,landuse_description,multiple,collective_name,block_number,face_number,post_code,code_tract
35,15186,5,0,11,1,AVENIDA,NA,NOVE DE JULHO,212,NA,FUNDOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CENTRO,NA,6,ALFAIATARIA,1,NA,3,1,13990000,351518605000011
51,8006,5,0,5,1,AVENIDA,NA,QUATRO DE JULHO,2285,NA,PREDIO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JARDIM JULIANA,NA,6,HOTEL,2,NA,15,2,78573000,510800605000005
15,6500,10,0,7,2,RAMAL,SANTA,JOANA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,01 17 7.6800 S,48 05 45.8340 O,DISTRITO DE AMERICANO,NA,3,CULTIVO DEVERDURAS,NA,NA,0,0,68790000,150650010000007
50,3801,5,0,4,1,RUA,MARECHAL,RONDON,1307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CENTRO,NA,6,REPARTICAO PUBLICA,1,NA,1,3,79700000,500380105000004
35,16200,5,0,227,1,AVENIDA,NA,BRASIL,2941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JARDIM PAULISTANO I,NA,6,MARCENARIA,1,NA,5,2,14402450,351620005000227
50,3702,5,0,96,1,RUA,NA,IVINHEMA,4420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ARAPONGAS,NA,6,OFICINA MECANICA,1,NA,5,1,79831050,500370205000096
43,13508,5,0,8,1,RUA,NA,MACHADO DE ASSIS,327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CENTRO,NA,6,ARMAZEM DA CASA,1,NA,1,4,95520000,431350805000008
27,4203,5,0,15,2,POVOADO,NA,CADOZ,4,SMS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,09 44 24.1020 S,36 29 2.2620 O,POVOADO CADOZ,NA,3,CASA,NA,NA,0,0,57260000,270420305000015
35,13702,5,0,4,1,RUA,NA,JOSE FERREIRA,0,SN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RESIDENCIAL MORUMBI,NA,6,GALPAO,1,NA,20,2,13690000,351370205000004
31,6200,5,62,337,1,RUA,NA,CAMIL CARAM,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SANTA LUCIA,NA,6,CONFEITARIA,1,NA,2,3,30350335,310620005620337
43,11205,5,0,25,2,ESTRADA,NA,JULIO  CASTILHOS PINHAL GRANDE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29 17 56.2920 S,53 29 14.1960 O,RINCAO DOS PADILHA,NA,3,CHACARA,NA,NA,0,0,98130000,431120505000025
26,5905,5,0,2,1,RUA,NA,MANOEL BUARQUE LINS,0,SN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CENTRO,NA,6,LOJA DE MATERIAIS DE CONSTRUCAO MANOEL D,1,NA,2,8,55530000,260590505000002
29,19553,5,0,12,1,AVENIDA,NA,BRASILIA,0,SN,SALA,NA,FRENTE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MIMOSO 1,NA,6,CAPE CENTRO DE APRENDIZAGEM PERSONALIZAD,1,NA,14,1,47850000,291955305000012
50,906,10,0,4,2,RODOVIA,NA,MS 384,0,SN,FAZENDA,SEDE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22 06 49.7400 S,56 09 59.4720 O,SANTA RITA,NA,3,PECUARIA,NA,NA,0,0,79910000,500090610000004
23,4400,5,7,281,1,RUA,NA,HERACLITO DOMINGUES,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALAGADICO,NA,6,CAMPO SOCIETY,1,NA,1,2,60000000,230440005070281
29,27408,5,21,151,1,RUA,NA,DO CURUZU,15,NA,TERREO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CURUZU,NA,6,BAR,1,NA,1,1,40366110,292740805210151
15,2202,15,0,4,2,RAMAL,NA,CALIFORNIA,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,01 03 15.9840 S,47 05 20.9220 O,CAPANEMA,NA,6,MERCADINHO DONA BENEDITA,1,NA,0,0,68705000,150220215000004
26,13503,5,0,34,2,ESTRADA,NA,ESTRADA PARA SAO BENTO,0,SN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRISTOVAO,NA,3,CRIACAO DE BOVINO,NA,NA,0,0,56950000,261350305000034
11,1203,5,0,1,1,RUA,NA,RONDONIA,5631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CENTRO,NA,6,IGREJA ASSEMBLEIA DE DEUS,1,NA,12,1,76919000,110120305000001
31,37601,15,0,2,1,RUA,NA,GUILHERMINA PEREIRA FREITAS,277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LAPINHA,NA,6,ESPACO CULTURAL DR LUND,1,NA,10,3,33400000,313760115000002
11,1450,5,0,2,1,AVENIDA,NA,CARLOS GOMES,370,NA,PREDIO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AVENIDAS,NA,6,MERCADO IDEAL,1,NA,3,1,76979000,110145005000002
35,41307,5,0,29,1,RUA,NA,TERESINA,70,NA,QUADRA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JARDIM REAL,NA,6,BAR,1,NA,4,3,19470000,354130705000029
43,17905,10,0,5,2,ESTRADA,NA,DO RIO BUGRE  A LINHA ORION,34,FNS,CASA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27 45 19.9260 S,54 46 9.7320 O,LINHA ORION,NA,3,PROPRIEDADE RURAL,NA,NA,0,0,98960000,431790510000005
51,1852,5,0,8,2,ESTRADA,NA,DO PARAISO,0,0,CASA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12 18 58.5900 S,51 29 56.4660 O,CASA NO GAMELEIRA,NA,3,CRIACAO DE BOVINOS,NA,NA,0,0,78678000,510185205000008
27,3908,5,0,6,1,RUA,NA,DO COMERCIO,582,SMS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CENTRO,NA,6,GARAGEM,1,NA,7,2,57965000,270390805000006
52,8707,5,5,3,1,AVENIDA,NA,REPUBLICA DO LIBANO,1213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SETOR AEROPORTO,NA,6,COMPRA E VENDA DE CARROS,1,NA,8,8,74070045,520870705050003
12,609,5,0,2,1,RUA,NA,GENERALISSIMO DEODORO,21,FUNASA,TERREO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CENTRO,NA,6,FARMARCIA DROGA LUZ,1,NA,7,1,69970000,120060905000002
35,7605,5,0,135,1,AVENIDA,NA,MARCELO STEFANI,15,NA,MODULO,123,TERREO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JARDIM DO LAGO,NA,6,CORRETORA DE SEGUROS,1,NA,1,8,12914490,350760505000135
15,4208,5,0,188,2,RAMAL,NA,SEM DENOMINACAO II,0,SN,FAZENDA,HORIZ AZUL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COMUNIDADE VALE,NA,3,PECUARIA E AGRICULTURA,NA,NA,0,0,68500000,150420805000188
31,36306,25,0,3,2,FAZENDA,NA,FLOR DE MINAS,336,KM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18 12 56.7840 S,45 59 27.0660 O,DESTILARIA WD,NA,3,DESTILARIA DE ALCOOL E ACUCAR,NA,NA,0,0,38770000,313630625000003
51,3304,5,0,3,1,RUA,NA,MINAS GERAIS,2843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CENTRO,NA,6,DEPOSITO DE  GAS  LUBIANE,1,NA,6,4,78310000,510330405000003
22,8304,5,0,42,2,POVOADO,NA,SERRA VERDE,0,SN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SERRA VERDE,NA,3,FAZENDA SERRA VERDE 1,NA,NA,0,0,64240000,220830405000042
26,11606,5,18,115,1,AVENIDA,NA,DANTAS BARRETO,868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SAO JOSE,NA,6,COPIADORA E BANCO,2,NA,4,2,50010360,261160605180115
33,4557,5,20,419,1,ESTRADA,NA,HENRIQUE DE MELO,253,NA,LOJA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BENTO RIBEIRO,NA,6,BAR E MERCERIA TERRA NOSTRA,1,NA,4,1,21340190,330455705200419
25,1807,5,0,53,1,RUA,NA,FRANCISCO MARQUES DA FONSECA,0,SN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALTO DA BOA ISTA,NA,6,OFICINA,1,NA,3,1,58308000,250180705000053
23,4400,5,7,705,1,RUA,NA,CESAR CORREIA,1150,NA,APARTAMENTO,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALVARO WEYNE,NA,6,DEPOSITO DE MATERIAL,1,NA,2,4,60336430,230440005070705
31,6200,60,64,48,1,RUA,SAO,JOAO DA SERRA,570,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SAO GABRIEL,NA,6,AUTOELETRICA,1,NA,1,1,31980580,310620060640048
31,52501,5,1,7,1,RUA,NA,ADOLFO OLINTO,343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CENTRO,NA,6,ROUPA INDIANA,1,NA,3,2,37550000,315250105010007
